Rv1603	1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase(hisA)

Rv0063	oxidoreductase(Rv0063)
COG_ONTOLOGY	120000064$Energy production and conversion,
GOTERM_CC_DIRECT	380000189$GO:0005576~extracellular region,
GOTERM_MF_DIRECT	460002816$GO:0016614~oxidoreductase activity, acting on CH-OH group of donors,460006265$GO:0050660~flavin adenine dinucleotide binding,
INTERPRO	530005168$IPR006093:Oxygen oxidoreductase covalent FAD-binding site,530005169$IPR006094:FAD linked oxidase, N-terminal,530005363$IPR006311:Twin-arginine translocation pathway, signal sequence,530010977$IPR012951:Berberine/berberine-like,530013504$IPR016166:FAD-binding, type 2,530013505$IPR016167:FAD-binding, type 2, subdomain 1,530013506$IPR016169:CO dehydrogenase flavoprotein-like, FAD-binding, subdomain 2,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,870000992$Signal,

Rv1050	oxidoreductase(Rv1050)
GOTERM_CC_DIRECT	380000189$GO:0005576~extracellular region,380000407$GO:0005886~plasma membrane,
INTERPRO	530001946$IPR002347:Glucose/ribitol dehydrogenase,530013409$IPR016040:NAD(P)-binding domain,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv1726	oxidoreductase(Rv1726)
COG_ONTOLOGY	120000064$Energy production and conversion,
GOTERM_MF_DIRECT	460002816$GO:0016614~oxidoreductase activity, acting on CH-OH group of donors,460006265$GO:0050660~flavin adenine dinucleotide binding,
INTERPRO	530005169$IPR006094:FAD linked oxidase, N-terminal,530010977$IPR012951:Berberine/berberine-like,530013504$IPR016166:FAD-binding, type 2,530013505$IPR016167:FAD-binding, type 2, subdomain 1,530013506$IPR016169:CO dehydrogenase flavoprotein-like, FAD-binding, subdomain 2,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv2893	oxidoreductase(Rv2893)
GOTERM_CC_DIRECT	380000407$GO:0005886~plasma membrane,
GOTERM_MF_DIRECT	460000845$GO:0004497~monooxygenase activity,460002862$GO:0016705~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen,
INTERPRO	530009635$IPR011251:Luciferase-like domain,530016780$IPR019923:Luciferase-like, F420-dependent oxidoreductase, MSMEG2516, predicted,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv3330	penicillin-binding protein DacB(dacB1)
GOTERM_BP_DIRECT	300002701$GO:0009252~peptidoglycan biosynthetic process,
GOTERM_CC_DIRECT	380000408$GO:0005887~integral component of plasma membrane,
GOTERM_MF_DIRECT	460000667$GO:0004175~endopeptidase activity,460002135$GO:0009002~serine-type D-Ala-D-Ala carboxypeptidase activity,
INTERPRO	530001629$IPR001967:Peptidase S11, D-alanyl-D-alanine carboxypeptidase A, N-terminal,530010444$IPR012338:Beta-lactamase/transpeptidase-like,530015192$IPR018044:Peptidase S11, D-alanyl-D-alanine carboxypeptidase A,
KEGG_PATHWAY	550041956$mtu00550:Peptidoglycan biosynthesis,550041998$mtu01100:Metabolic pathways,
UP_KEYWORDS	870000010$3D-structure,870000175$Carboxypeptidase,870000251$Complete proteome,870000516$Hydrolase,870000683$Membrane,870000893$Protease,870000928$Reference proteome,870000992$Signal,870001092$Transmembrane,870001094$Transmembrane helix,

Rv1477	peptidoglycan endopeptidase RipA(ripA)
COG_ONTOLOGY	120000032$Cell envelope biogenesis, outer membrane,120000070$Function unknown,
GOTERM_BP_DIRECT	300007714$GO:0040007~growth,300012874$GO:0071555~cell wall organization,
GOTERM_CC_DIRECT	380000189$GO:0005576~extracellular region,380000220$GO:0005618~cell wall,
GOTERM_MF_DIRECT	460001649$GO:0008234~cysteine-type peptidase activity,460001917$GO:0008745~N-acetylmuramoyl-L-alanine amidase activity,
INTERPRO	530000048$IPR000064:Endopeptidase, NLPC/P60 domain,
UP_KEYWORDS	870000010$3D-structure,870000195$Cell wall biogenesis/degradation,870000244$Coiled coil,870000251$Complete proteome,870000516$Hydrolase,870000893$Protease,870000928$Reference proteome,870000970$Secreted,870000992$Signal,870001062$Thiol protease,

Rv1573	phage protein(Rv1573)
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv3113	phosphatase(Rv3113)
GOTERM_BP_DIRECT	300002484$GO:0008152~metabolic process,300007714$GO:0040007~growth,
GOTERM_MF_DIRECT	460002923$GO:0016787~hydrolase activity,
INTERPRO	530005481$IPR006439:HAD-superfamily hydrolase, subfamily IA, variant 1,530019663$IPR023214:HAD-like domain,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv0928	phosphate ABC transporter substrate-binding lipoprotein PstS(pstS3)
GOTERM_BP_DIRECT	300001852$GO:0006817~phosphate ion transport,300004118$GO:0016036~cellular response to phosphate starvation,300007053$GO:0035435~phosphate ion transmembrane transport,300008618$GO:0044117~growth of symbiont in host,300011019$GO:0052170~negative regulation by symbiont of host innate immune response,
GOTERM_CC_DIRECT	380000189$GO:0005576~extracellular region,380000220$GO:0005618~cell wall,380000407$GO:0005886~plasma membrane,380001569$GO:0043190~ATP-binding cassette (ABC) transporter complex,
GOTERM_MF_DIRECT	460002540$GO:0015415~phosphate ion transmembrane-transporting ATPase activity,460004776$GO:0042301~phosphate ion binding,
INTERPRO	530004793$IPR005673:ABC transporter, phosphate-binding protein PstS,530020663$IPR024370:PBP domain,
KEGG_PATHWAY	550042010$mtu02010:ABC transporters,550042011$mtu02020:Two-component system,550042026$mtu05152:Tuberculosis,
PIR_SUPERFAMILY	700000622$PIRSF002756:ABC-type phosphate transporter, substrate-binding component,
UP_KEYWORDS	870000010$3D-structure,870000190$Cell membrane,870000251$Complete proteome,870000660$Lipoprotein,870000683$Membrane,870000807$Palmitate,870000834$Phosphate transport,870000928$Reference proteome,870000992$Signal,870001024$Stress response,870001103$Transport,
UP_SEQ_FEATURE	880031883$chain:Phosphate-binding protein pstS 3,880079287$lipid moiety-binding region:N-palmitoyl cysteine,880079301$lipid moiety-binding region:S-diacylglycerol cysteine,880087858$sequence variant,880088358$signal peptide,

Rv0803	phosphoribosylformylglycinamidine synthase 2(purL)
GOTERM_BP_DIRECT	300001366$GO:0006164~purine nucleotide biosynthetic process,300001387$GO:0006189~'de novo' IMP biosynthetic process,300001629$GO:0006541~glutamine metabolic process,300002652$GO:0009156~ribonucleoside monophosphate biosynthetic process,300007714$GO:0040007~growth,
GOTERM_CC_DIRECT	380000294$GO:0005737~cytoplasm,
GOTERM_MF_DIRECT	460000058$GO:0000287~magnesium ion binding,460000965$GO:0004642~phosphoribosylformylglycinamidine synthase activity,460001536$GO:0005524~ATP binding,
INTERPRO	530008636$IPR010074:Phosphoribosylformylglycinamidine synthase II,530009373$IPR010918:AIR synthase-related protein, C-terminal domain,530013523$IPR016188:PurM, N-terminal-like,
KEGG_PATHWAY	550041920$mtu00230:Purine metabolism,550041998$mtu01100:Metabolic pathways,550041999$mtu01110:Biosynthesis of secondary metabolites,550042001$mtu01130:Biosynthesis of antibiotics,
PIR_SUPERFAMILY	700000478$PIRSF001587:phosphoribosylformylglycinamidine synthase component II,
UP_KEYWORDS	870000104$ATP-binding,870000251$Complete proteome,870000288$Cytoplasm,870000646$Ligase,870000670$Magnesium,870000691$Metal-binding,870000786$Nucleotide-binding,870000907$Purine biosynthesis,870000928$Reference proteome,
UP_SEQ_FEATURE	880032214$chain:Phosphoribosylformylglycinamidine synthase 2,880079647$nucleotide phosphate-binding region:ATP,880087857$sequence conflict,

Rv0956	phosphoribosylglycinamide formyltransferase PurN(purN)
GOTERM_BP_DIRECT	300001387$GO:0006189~'de novo' IMP biosynthetic process,300009605$GO:0046653~tetrahydrofolate metabolic process,
GOTERM_MF_DIRECT	460000058$GO:0000287~magnesium ion binding,460000967$GO:0004644~phosphoribosylglycinamide formyltransferase activity,
INTERPRO	530001966$IPR002376:Formyl transferase, N-terminal,530003823$IPR004607:Phosphoribosylglycinamide formyltransferase,
KEGG_PATHWAY	550041920$mtu00230:Purine metabolism,550041977$mtu00670:One carbon pool by folate,550041998$mtu01100:Metabolic pathways,550041999$mtu01110:Biosynthesis of secondary metabolites,550042001$mtu01130:Biosynthesis of antibiotics,
UP_KEYWORDS	870000010$3D-structure,870000251$Complete proteome,870000670$Magnesium,870000691$Metal-binding,870000907$Purine biosynthesis,870000928$Reference proteome,870001085$Transferase,

Rv0088	polyketide cyclase/dehydrase(Rv0088)
GOTERM_CC_DIRECT	380000220$GO:0005618~cell wall,380000407$GO:0005886~plasma membrane,
INTERPRO	530016479$IPR019587:Polyketide cyclase/dehydrase,530019812$IPR023393:START-like domain,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,
UP_SEQ_FEATURE	880063463$chain:Uncharacterized protein Rv0088/MT0096,880087857$sequence conflict,

Rv2702	polyphosphate glucokinase(ppgK)
GOTERM_BP_DIRECT	300007714$GO:0040007~growth,
GOTERM_MF_DIRECT	460000715$GO:0004340~glucokinase activity,460001536$GO:0005524~ATP binding,460002737$GO:0016301~kinase activity,460005516$GO:0047330~polyphosphate-glucose phosphotransferase activity,
INTERPRO	530000479$IPR000600:ROK,
KEGG_PATHWAY	550041906$mtu00010:Glycolysis / Gluconeogenesis,550041952$mtu00520:Amino sugar and nucleotide sugar metabolism,550041998$mtu01100:Metabolic pathways,550041999$mtu01110:Biosynthesis of secondary metabolites,550042000$mtu01120:Microbial metabolism in diverse environments,550042001$mtu01130:Biosynthesis of antibiotics,550042002$mtu01200:Carbon metabolism,
UP_KEYWORDS	870000104$ATP-binding,870000251$Complete proteome,870000620$Kinase,870000786$Nucleotide-binding,870000928$Reference proteome,870001085$Transferase,
UP_SEQ_FEATURE	880032879$chain:Polyphosphate glucokinase,880079647$nucleotide phosphate-binding region:ATP,880087857$sequence conflict,880087858$sequence variant,

Rv2672	protease(Rv2672)
GOTERM_CC_DIRECT	380000189$GO:0005576~extracellular region,
GOTERM_MF_DIRECT	460001648$GO:0008233~peptidase activity,
INTERPRO	530011512$IPR013595:Peptidase S33 tripeptidyl aminopeptidase-like, C-terminal,
UP_KEYWORDS	870000251$Complete proteome,870000516$Hydrolase,870000893$Protease,870000928$Reference proteome,870000992$Signal,

Rv2232	protein tyrosine kinase transcriptional regulator PtkA(ptkA)
GOTERM_BP_DIRECT	300009668$GO:0046777~protein autophosphorylation,
GOTERM_CC_DIRECT	380000294$GO:0005737~cytoplasm,
GOTERM_MF_DIRECT	460000058$GO:0000287~magnesium ion binding,460001021$GO:0004713~protein tyrosine kinase activity,460002926$GO:0016791~phosphatase activity,
INTERPRO	530019649$IPR023198:Phosphoglycolate phosphatase, domain 2,530019663$IPR023214:HAD-like domain,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,
UP_SEQ_FEATURE	880063674$chain:Uncharacterized protein Rv2232/MT2292,

Rv1440	protein-export membrane protein SecG(secG)
GOTERM_BP_DIRECT	300002733$GO:0009306~protein secretion,300010997$GO:0052059~evasion or tolerance by symbiont of host-produced reactive oxygen species,
GOTERM_CC_DIRECT	380000407$GO:0005886~plasma membrane,380000668$GO:0016021~integral component of membrane,
GOTERM_MF_DIRECT	460002565$GO:0015450~P-P-bond-hydrolysis-driven protein transmembrane transporter activity,
INTERPRO	530003906$IPR004692:Preprotein translocase SecG subunit,
KEGG_PATHWAY	550042017$mtu03060:Protein export,550042018$mtu03070:Bacterial secretion system,
UP_KEYWORDS	870000190$Cell membrane,870000251$Complete proteome,870000683$Membrane,870000902$Protein transport,870000928$Reference proteome,870001091$Translocation,870001092$Transmembrane,870001094$Transmembrane helix,870001103$Transport,
UP_SEQ_FEATURE	880036061$chain:Probable protein-export membrane protein secG,880089084$transmembrane region,

Rv2561	pseudo(Rv2561)
UP_SEQ_FEATURE	880063710$chain:Uncharacterized protein Rv2561/Rv2562/MT2638,

Rv2713	pyridine nucleotide transhydrogenase(sthA)
GOTERM_BP_DIRECT	300001798$GO:0006739~NADP metabolic process,300008997$GO:0045454~cell redox homeostasis,
GOTERM_CC_DIRECT	380000220$GO:0005618~cell wall,380000294$GO:0005737~cytoplasm,380000365$GO:0005829~cytosol,380000407$GO:0005886~plasma membrane,
GOTERM_MF_DIRECT	460000479$GO:0003957~NAD(P)+ transhydrogenase (B-specific) activity,460006265$GO:0050660~flavin adenine dinucleotide binding,
INTERPRO	530003371$IPR004099:Pyridine nucleotide-disulphide oxidoreductase, dimerisation,530013495$IPR016156:FAD/NAD-linked reductase, dimerisation,530019440$IPR022962:Soluble pyridine nucleotide transhydrogenase,530020127$IPR023753:Pyridine nucleotide-disulphide oxidoreductase, FAD/NAD(P)-binding domain,
KEGG_PATHWAY	550041982$mtu00760:Nicotinate and nicotinamide metabolism,550041998$mtu01100:Metabolic pathways,
UP_KEYWORDS	870000251$Complete proteome,870000288$Cytoplasm,870000374$FAD,870000388$Flavoprotein,870000753$NAD,870000754$NADP,870000802$Oxidoreductase,870000928$Reference proteome,
UP_SEQ_FEATURE	880036395$chain:Probable soluble pyridine nucleotide transhydrogenase,880050045$chain:Soluble pyridine nucleotide transhydrogenase,880079669$nucleotide phosphate-binding region:FAD,

Rv2241	pyruvate dehydrogenase E1 component(aceE)
GOTERM_BP_DIRECT	300001324$GO:0006096~glycolytic process,300011127$GO:0055114~oxidation-reduction process,
GOTERM_CC_DIRECT	380000189$GO:0005576~extracellular region,380000220$GO:0005618~cell wall,380000407$GO:0005886~plasma membrane,380001774$GO:0045254~pyruvate dehydrogenase complex,
GOTERM_MF_DIRECT	460000058$GO:0000287~magnesium ion binding,460001045$GO:0004739~pyruvate dehydrogenase (acetyl-transferring) activity,
INTERPRO	530003876$IPR004660:2-oxo-acid dehydrogenase E1 component homodimeric type,530004612$IPR005474:Transketolase, N-terminal,530007703$IPR009014:Transketolase, C-terminal/Pyruvate-ferredoxin oxidoreductase, domain II,
KEGG_PATHWAY	550041906$mtu00010:Glycolysis / Gluconeogenesis,550041907$mtu00020:Citrate cycle (TCA cycle),550041963$mtu00620:Pyruvate metabolism,550041998$mtu01100:Metabolic pathways,550041999$mtu01110:Biosynthesis of secondary metabolites,550042000$mtu01120:Microbial metabolism in diverse environments,550042001$mtu01130:Biosynthesis of antibiotics,550042002$mtu01200:Carbon metabolism,
PIR_SUPERFAMILY	700000067$PIRSF000156:pyruvate dehydrogenase, E1 component,
UP_KEYWORDS	870000251$Complete proteome,870000434$Glycolysis,870000610$Isopeptide bond,870000670$Magnesium,870000802$Oxidoreductase,870000918$Pyruvate,870000928$Reference proteome,870001058$Thiamine pyrophosphate,870001125$Ubl conjugation,
UP_SEQ_FEATURE	880045755$chain:Pyruvate dehydrogenase E1 component,

Rv1003	rRNA small subunit methyltransferase I(Rv1003)
GOTERM_BP_DIRECT	300000147$GO:0000453~enzyme-directed rRNA 2'-O-methylation,
GOTERM_CC_DIRECT	380000294$GO:0005737~cytoplasm,380000407$GO:0005886~plasma membrane,
GOTERM_MF_DIRECT	460006876$GO:0070677~rRNA (cytosine-2'-O-)-methyltransferase activity,
INTERPRO	530000719$IPR000878:Tetrapyrrole methylase,530007023$IPR008189:rRNA small subunit methyltransferase I,530012462$IPR014776:Tetrapyrrole methylase, subdomain 2,530012463$IPR014777:Tetrapyrrole methylase, subdomain 1,530015208$IPR018063:SAM-dependent methyltransferase RsmI, conserved site,
PIR_SUPERFAMILY	700001001$PIRSF005917:methyltransferase, YraL type,
UP_KEYWORDS	870000251$Complete proteome,870000288$Cytoplasm,870000701$Methyltransferase,870000928$Reference proteome,870000959$rRNA processing,870000963$S-adenosyl-L-methionine,870001085$Transferase,
UP_SEQ_FEATURE	880067384$chain:UPF0011 protein Rv1003/MT1032,880087857$sequence conflict,

Rv3143	response regulator(Rv3143)
GOTERM_BP_DIRECT	300000056$GO:0000160~phosphorelay signal transduction system,
GOTERM_CC_DIRECT	380000220$GO:0005618~cell wall,380000223$GO:0005622~intracellular,
INTERPRO	530001482$IPR001789:Signal transduction response regulator, receiver domain,530009444$IPR011006:CheY-like superfamily,
SMART	790000383$SM00448:REC,
UP_KEYWORDS	870000251$Complete proteome,870000841$Phosphoprotein,870000928$Reference proteome,870001119$Two-component regulatory system,

Rv1412	riboflavin synthase(ribC)
GOTERM_BP_DIRECT	300002685$GO:0009231~riboflavin biosynthetic process,
GOTERM_MF_DIRECT	460001052$GO:0004746~riboflavin synthase activity,460002784$GO:0016491~oxidoreductase activity,
INTERPRO	530001477$IPR001783:Lumazine-binding protein,530015115$IPR017938:Riboflavin synthase-like beta-barrel,530019788$IPR023366:ATPase, F1/A1 complex, alpha subunit, N-terminal,530022144$IPR026017:Lumazine-binding domain,
KEGG_PATHWAY	550041980$mtu00740:Riboflavin metabolism,550041998$mtu01100:Metabolic pathways,550041999$mtu01110:Biosynthesis of secondary metabolites,
PIR_SUPERFAMILY	700000198$PIRSF000498:riboflavin synthase, alpha subunit,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,870000935$Repeat,870000946$Riboflavin biosynthesis,870001085$Transferase,
UP_SEQ_FEATURE	880046912$chain:Riboflavin synthase alpha chain,880086981$repeat:Lumazine-binding 1,880086982$repeat:Lumazine-binding 2,

Rv2407	ribonuclease Z(Rv2407)
GOTERM_MF_DIRECT	460004818$GO:0042781~3'-tRNA processing endoribonuclease activity,460005313$GO:0046872~metal ion binding,
INTERPRO	530001053$IPR001279:Beta-lactamase-like,530011402$IPR013471:Ribonuclease Z,
SMART	790000734$SM00849:SM00849,
UP_KEYWORDS	870000251$Complete proteome,870000348$Endonuclease,870000516$Hydrolase,870000691$Metal-binding,870000781$Nuclease,870000928$Reference proteome,870001110$tRNA processing,870001206$Zinc,
UP_SEQ_FEATURE	880046989$chain:Ribonuclease Z,880087857$sequence conflict,

Rv0995	ribosomal-protein-alanine acetyltransferase RimJ(rimJ)
COG_ONTOLOGY	120000125$Translation, ribosomal structure and biogenesis,
GOTERM_BP_DIRECT	300001579$GO:0006474~N-terminal protein amino acid acetylation,
GOTERM_MF_DIRECT	460001575$GO:0008080~N-acetyltransferase activity,
INTERPRO	530000138$IPR000182:GNAT domain,530013516$IPR016181:Acyl-CoA N-acyltransferase,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,870001085$Transferase,

Rv3174	short-chain dehydrogenase/reductase(Rv3174)
INTERPRO	530001946$IPR002347:Glucose/ribitol dehydrogenase,530013409$IPR016040:NAD(P)-binding domain,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv1731	succinate-semialdehyde dehydrogenase(gabD2)
GOTERM_BP_DIRECT	300001327$GO:0006099~tricarboxylic acid cycle,
GOTERM_CC_DIRECT	380000407$GO:0005886~plasma membrane,
GOTERM_MF_DIRECT	460000535$GO:0004029~aldehyde dehydrogenase (NAD) activity,460002142$GO:0009013~succinate-semialdehyde dehydrogenase [NAD(P)+] activity,460002820$GO:0016620~oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor,
INTERPRO	530013138$IPR015590:Aldehyde dehydrogenase domain,530013500$IPR016161:Aldehyde/histidinol dehydrogenase,530013501$IPR016162:Aldehyde dehydrogenase, N-terminal,530013502$IPR016163:Aldehyde dehydrogenase, C-terminal,
KEGG_PATHWAY	550041922$mtu00250:Alanine, aspartate and glutamate metabolism,550041930$mtu00310:Lysine degradation,550041935$mtu00350:Tyrosine metabolism,550041975$mtu00650:Butanoate metabolism,550041998$mtu01100:Metabolic pathways,550042000$mtu01120:Microbial metabolism in diverse environments,
UP_KEYWORDS	870000251$Complete proteome,870000754$NADP,870000802$Oxidoreductase,870000928$Reference proteome,
UP_SEQ_FEATURE	880044735$chain:Putative succinate-semialdehyde dehydrogenase [NADP+] 2,880079687$nucleotide phosphate-binding region:NAD or NADP,

Rv0951	succinyl-CoA ligase subunit beta(sucC)
GOTERM_BP_DIRECT	300001327$GO:0006099~tricarboxylic acid cycle,300007714$GO:0040007~growth,
GOTERM_CC_DIRECT	380000220$GO:0005618~cell wall,380000365$GO:0005829~cytosol,
GOTERM_MF_DIRECT	460000058$GO:0000287~magnesium ion binding,460001075$GO:0004775~succinate-CoA ligase (ADP-forming) activity,460001536$GO:0005524~ATP binding,460003542$GO:0030145~manganese ion binding,
INTERPRO	530004919$IPR005809:Succinyl-CoA synthetase, beta subunit,530004921$IPR005811:ATP-citrate lyase/succinyl-CoA ligase,530010029$IPR011761:ATP-grasp fold,530011559$IPR013650:ATP-grasp fold, succinyl-CoA synthetase-type,530011704$IPR013815:ATP-grasp fold, subdomain 1,530011705$IPR013816:ATP-grasp fold, subdomain 2,530013452$IPR016102:Succinyl-CoA synthetase-like,530015059$IPR017866:Succinyl-CoA synthetase, beta subunit, conserved site,
KEGG_PATHWAY	550041907$mtu00020:Citrate cycle (TCA cycle),550041972$mtu00640:Propanoate metabolism,550041976$mtu00660:C5-Branched dibasic acid metabolism,550041998$mtu01100:Metabolic pathways,550041999$mtu01110:Biosynthesis of secondary metabolites,550042000$mtu01120:Microbial metabolism in diverse environments,550042001$mtu01130:Biosynthesis of antibiotics,550042002$mtu01200:Carbon metabolism,
PIR_SUPERFAMILY	700000472$PIRSF001554:succinyl-CoA synthetase, beta subunit,
UP_KEYWORDS	870000104$ATP-binding,870000251$Complete proteome,870000646$Ligase,870000670$Magnesium,870000674$Manganese,870000691$Metal-binding,870000786$Nucleotide-binding,870000928$Reference proteome,870001107$Tricarboxylic acid cycle,
UP_SEQ_FEATURE	880051296$chain:Succinyl-CoA ligase [ADP-forming] subunit beta,880076569$domain:ATP-grasp,880079545$metal ion-binding site:Magnesium or manganese,880079647$nucleotide phosphate-binding region:ATP,

Rv2928	thioesterase TesA(tesA)
GOTERM_BP_DIRECT	300002565$GO:0008610~lipid biosynthetic process,300002594$GO:0009058~biosynthetic process,300011044$GO:0052562~negative regulation by symbiont of host immune response,300012969$GO:0071770~DIM/DIP cell wall layer assembly,
GOTERM_CC_DIRECT	380000407$GO:0005886~plasma membrane,
GOTERM_MF_DIRECT	460002924$GO:0016788~hydrolase activity, acting on ester bonds,
INTERPRO	530000844$IPR001031:Thioesterase,530010387$IPR012223:Thioesterase type II, NRPS/PKS/S-FAS,530017449$IPR020802:Polyketide synthase, thioesterase domain,
SMART	790000709$SM00824:SM00824,
UP_KEYWORDS	870000251$Complete proteome,870000516$Hydrolase,870000928$Reference proteome,
UP_SEQ_FEATURE	880036517$chain:Probable thioesterase tesA,

Rv1297	transcription termination factor Rho(rho)
GOTERM_BP_DIRECT	300001492$GO:0006353~DNA-templated transcription, termination,300001494$GO:0006355~regulation of transcription, DNA-templated,300001501$GO:0006363~termination of RNA polymerase I transcription,300007714$GO:0040007~growth,
GOTERM_CC_DIRECT	380000220$GO:0005618~cell wall,380000407$GO:0005886~plasma membrane,
GOTERM_MF_DIRECT	460000352$GO:0003723~RNA binding,460000759$GO:0004386~helicase activity,460001536$GO:0005524~ATP binding,460001632$GO:0008186~RNA-dependent ATPase activity,
INTERPRO	530000147$IPR000194:ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain,530002940$IPR003593:AAA+ ATPase domain,530003880$IPR004665:Transcription termination factor Rho,530009533$IPR011112:Rho termination factor, N-terminal,530009534$IPR011113:Rho termination factor, RNA-binding,530009549$IPR011129:Cold shock protein,530010446$IPR012340:Nucleic acid-binding, OB-fold,530023254$IPR027417:P-loop containing nucleoside triphosphate hydrolase,
KEGG_PATHWAY	550042013$mtu03018:RNA degradation,
SMART	790000316$SM00357:CSP,790000325$SM00382:AAA,790000843$SM00959:SM00959,
UP_KEYWORDS	870000104$ATP-binding,870000251$Complete proteome,870000457$Helicase,870000516$Hydrolase,870000786$Nucleotide-binding,870000928$Reference proteome,870000954$RNA-binding,870001077$Transcription,870001079$Transcription regulation,870001081$Transcription termination,
UP_SEQ_FEATURE	880053558$chain:Transcription termination factor rho,880076012$compositionally biased region:Arg-rich,880079647$nucleotide phosphate-binding region:ATP,880085245$region of interest:RNA-binding (RNP1),880085246$region of interest:RNA-binding (RNP2),

Rv1453	transcriptional activator protein(Rv1453)
COG_ONTOLOGY	120000113$Signal transduction mechanisms / Secondary metabolites biosynthesis, transport, and catabolism,
GOTERM_CC_DIRECT	380000220$GO:0005618~cell wall,380000407$GO:0005886~plasma membrane,
INTERPRO	530021907$IPR025736:PucR C-terminal helix-turn-helix domain,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv3124	transcriptional regulator MoaR(moaR1)
COG_ONTOLOGY	120000109$Signal transduction mechanisms,
GOTERM_BP_DIRECT	300000056$GO:0000160~phosphorelay signal transduction system,300001490$GO:0006351~transcription, DNA-templated,300001494$GO:0006355~regulation of transcription, DNA-templated,300005893$GO:0032324~molybdopterin cofactor biosynthetic process,
GOTERM_CC_DIRECT	380000223$GO:0005622~intracellular,
GOTERM_MF_DIRECT	460000330$GO:0003677~DNA binding,
INTERPRO	530001545$IPR001867:Signal transduction response regulator, C-terminal,530004328$IPR005158:Bacterial transcriptional activator domain,530010247$IPR011990:Tetratricopeptide-like helical,530010248$IPR011991:Winged helix-turn-helix DNA-binding domain,530013403$IPR016032:Signal transduction response regulator, C-terminal effector,
SMART	790000747$SM00862:SM00862,790000925$SM01043:SM01043,
UP_KEYWORDS	870000037$Activator,870000251$Complete proteome,870000331$DNA-binding,870000928$Reference proteome,870001077$Transcription,870001079$Transcription regulation,

Rv1479	transcriptional regulator MoxR1(moxR1)
COG_ONTOLOGY	120000073$General function prediction only,
GOTERM_BP_DIRECT	300007714$GO:0040007~growth,
GOTERM_CC_DIRECT	380000220$GO:0005618~cell wall,380000407$GO:0005886~plasma membrane,
GOTERM_MF_DIRECT	460001536$GO:0005524~ATP binding,460002989$GO:0016887~ATPase activity,
INTERPRO	530009981$IPR011703:ATPase, AAA-3,530013672$IPR016366:ATPase chaperone, AAA-type, MoxR, predicted,530023254$IPR027417:P-loop containing nucleoside triphosphate hydrolase,
PIR_SUPERFAMILY	700000631$PIRSF002849:AAA-type ATPase enzymatic complex assembly chaperone, MoxR type,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv0078	transcriptional regulator(Rv0078)
COG_ONTOLOGY	120000115$Transcription,
GOTERM_BP_DIRECT	300001490$GO:0006351~transcription, DNA-templated,300001494$GO:0006355~regulation of transcription, DNA-templated,
GOTERM_CC_DIRECT	380000407$GO:0005886~plasma membrane,
GOTERM_MF_DIRECT	460000330$GO:0003677~DNA binding,460000343$GO:0003700~transcription factor activity, sequence-specific DNA binding,
INTERPRO	530001362$IPR001647:DNA-binding HTH domain, TetR-type,530007736$IPR009057:Homeodomain-like,530009503$IPR011075:Tetracycline transcriptional regulator, TetR-related, C-terminal,530013309$IPR015893:Tetracycline transcriptional regulator, TetR-like, C-terminal,
UP_KEYWORDS	870000251$Complete proteome,870000331$DNA-binding,870000928$Reference proteome,870001077$Transcription,870001079$Transcription regulation,

Rv0232	transcriptional regulator(Rv0232)
COG_ONTOLOGY	120000115$Transcription,
GOTERM_BP_DIRECT	300001490$GO:0006351~transcription, DNA-templated,300001494$GO:0006355~regulation of transcription, DNA-templated,
GOTERM_MF_DIRECT	460000330$GO:0003677~DNA binding,
INTERPRO	530001362$IPR001647:DNA-binding HTH domain, TetR-type,530007736$IPR009057:Homeodomain-like,530009503$IPR011075:Tetracycline transcriptional regulator, TetR-related, C-terminal,530013309$IPR015893:Tetracycline transcriptional regulator, TetR-like, C-terminal,530020145$IPR023772:DNA-binding HTH domain, TetR-type, conserved site,
UP_KEYWORDS	870000251$Complete proteome,870000331$DNA-binding,870000928$Reference proteome,870001077$Transcription,870001079$Transcription regulation,

Rv0386	transcriptional regulator(Rv0386)
COG_ONTOLOGY	120000114$Signal transduction mechanisms / Transcription,
